<<<<<<< HEAD
Ship_Type,DWT,Engine_Power_kW,Design_Speed,Avg_Speed_Knots,Distance_NM,Draft_Percentage,Wind_Beaufort,Wave_Height_m,Current_Speed_Knots,Current_Direction,Season,Fuel_Consumption_Tons
Bulker,33461,4999,13.9,10.5,719,75.0,2,1.81,0.77,Head,Inter-Monsoon,24.33
Tanker,79290,14375,13.1,11.6,4381,67.8,4,3.35,2.1,Head,Southwest Monsoon,625.95
Container,125602,50495,22.5,15.3,1964,98.1,1,0.89,0.66,Following,Inter-Monsoon,377.44
Bulker,86468,12714,12.9,9.3,4595,78.2,2,0.6,0.95,Head,Inter-Monsoon,400.48
Container,63825,25441,24.0,20.8,3577,84.2,3,1.68,1.1,Beam,Northeast Monsoon,496.43
Container,98683,39142,23.4,21.3,4828,61.3,1,1.18,0.16,Following,Inter-Monsoon,956.04
Bulker,66694,9553,13.2,10.1,2695,97.1,6,1.87,0.79,Following,Northeast Monsoon,233.86
Bulker,121708,18084,12.7,10.5,4098,69.3,8,3.94,1.43,Following,Southwest Monsoon,677.98
Bulker,66830,10378,15.5,14.2,3781,87.5,5,3.65,1.13,Beam,Northeast Monsoon,434.29
Bulker,59255,8309,14.9,13.0,732,99.3,3,2.67,1.17,Following,Northeast Monsoon,61.86
Bulker,114809,17995,12.7,8.4,2017,70.3,1,1.7,0.28,Beam,Inter-Monsoon,178.02
Bulker,73075,11328,12.7,10.0,2702,60.1,6,2.19,0.72,Head,Northeast Monsoon,218.57
Container,84791,33366,22.9,14.6,2820,67.7,2,1.58,0.12,Following,Inter-Monsoon,245.12
Tanker,223245,40133,16.6,10.4,3155,66.9,3,0.82,0.4,Head,Inter-Monsoon,422.3
Container,124009,49299,20.9,15.4,2532,55.0,6,3.13,1.22,Following,Southwest Monsoon,464.85
Tanker,192805,35036,16.8,14.7,646,71.7,2,1.22,0.54,Beam,Inter-Monsoon,157.12
Bulker,74272,11394,12.2,8.5,3794,61.7,1,1.1,0.27,Beam,Inter-Monsoon,229.14
Bulker,171319,25754,15.8,12.3,2858,69.0,1,1.42,0.26,Following,Inter-Monsoon,403.82
Container,107149,43192,19.8,14.6,4145,81.3,4,3.16,1.13,Beam,Northeast Monsoon,851.46
Bulker,70873,10880,15.8,12.5,4938,68.7,1,1.93,0.71,Following,Inter-Monsoon,311.93
Container,80269,32275,22.0,17.4,4200,96.6,1,0.91,0.37,Beam,Inter-Monsoon,720.5
Container,42179,17376,22.6,15.9,4635,54.7,2,0.57,0.75,Head,Inter-Monsoon,210.72
Container,82535,33167,21.9,19.8,1771,56.2,6,3.82,0.68,Following,Northeast Monsoon,321.4
Container,57402,23663,21.6,13.9,534,95.0,3,1.78,0.37,Following,Inter-Monsoon,47.47
Bulker,130929,19742,15.3,11.2,3506,86.9,2,1.66,0.25,Beam,Inter-Monsoon,450.34
Tanker,160894,29239,15.2,11.3,1211,57.0,4,3.41,0.67,Beam,Southwest Monsoon,175.36
Bulker,36234,5517,15.5,11.4,2627,99.7,2,1.74,0.88,Beam,Inter-Monsoon,102.48
Bulker,38885,5676,14.5,10.7,4846,93.9,3,1.56,0.48,Following,Inter-Monsoon,182.3
Container,94440,38028,18.3,12.8,3352,72.4,1,1.02,0.37,Beam,Inter-Monsoon,513.17
Tanker,298694,53148,15.3,12.6,3852,55.1,2,1.25,0.37,Head,Inter-Monsoon,1222.16
Tanker,95824,17029,16.9,13.6,4342,95.6,7,5.87,2.23,Beam,Southwest Monsoon,681.95
Container,140110,55743,19.4,14.7,4369,99.5,4,2.48,1.34,Beam,Northeast Monsoon,1520.37
Container,95435,38297,23.0,16.2,782,63.0,3,2.81,1.36,Following,Northeast Monsoon,97.25
Tanker,291608,53171,13.7,13.0,4699,97.2,5,5.3,1.96,Beam,Southwest Monsoon,3316.34
Tanker,211667,38271,14.6,9.2,4200,93.9,7,5.17,1.52,Head,Southwest Monsoon,1029.35
Tanker,236981,43177,16.3,13.1,938,70.6,4,3.7,1.35,Beam,Northeast Monsoon,270.08
Tanker,70731,12773,13.5,8.5,4810,58.4,8,4.22,1.47,Beam,Southwest Monsoon,284.8
Bulker,34699,5536,13.0,7.9,1425,100.0,3,3.63,0.72,Head,Northeast Monsoon,49.79
Bulker,42412,6869,12.3,7.9,4371,91.6,3,2.77,1.48,Beam,Northeast Monsoon,205.8
Tanker,124585,22898,15.7,10.9,4808,79.7,1,0.65,0.54,Following,Inter-Monsoon,519.09
Container,144672,57483,19.3,14.9,527,65.8,2,1.99,0.71,Following,Inter-Monsoon,132.27
Bulker,164923,23960,15.9,12.2,3229,53.1,1,1.83,0.65,Beam,Inter-Monsoon,391.85
Tanker,114608,20729,16.1,13.9,1504,81.8,6,3.94,0.8,Head,Southwest Monsoon,299.54
Container,70304,28211,18.1,10.9,3344,86.1,7,4.52,1.7,Head,Southwest Monsoon,411.11
Tanker,223249,39523,15.3,11.7,2230,82.1,2,1.0,0.59,Head,Inter-Monsoon,580.43
Bulker,77248,12977,12.5,8.0,4147,51.5,4,3.75,1.34,Following,Northeast Monsoon,239.12
Tanker,57968,10344,13.1,10.0,4770,89.5,7,4.85,1.2,Beam,Southwest Monsoon,516.26
Tanker,253866,46528,16.6,10.6,4291,53.9,1,0.77,0.71,Beam,Inter-Monsoon,603.97
Bulker,89856,13298,12.2,10.9,1553,52.7,4,3.35,1.11,Head,Northeast Monsoon,186.6
Container,104036,40976,23.9,14.5,4405,72.3,3,0.92,0.99,Head,Inter-Monsoon,448.68
Tanker,198646,36746,14.5,13.2,2393,87.7,1,1.32,0.49,Head,Inter-Monsoon,932.42
Bulker,61270,9665,13.2,9.0,4564,51.3,8,4.22,2.45,Following,Southwest Monsoon,241.8
Bulker,153816,23179,15.6,11.8,2132,51.5,4,4.92,2.07,Beam,Southwest Monsoon,247.07
Container,123213,49457,23.5,14.2,1114,58.2,6,2.77,1.27,Following,Northeast Monsoon,129.51
Bulker,100386,15217,15.7,12.9,1114,96.2,4,3.08,2.23,Head,Southwest Monsoon,171.69
Tanker,81377,14444,14.5,12.0,1789,60.6,2,0.91,0.6,Following,Inter-Monsoon,158.36
Container,57193,22691,18.7,16.8,2894,87.7,8,3.72,1.95,Following,Southwest Monsoon,603.51
Container,98532,39877,19.5,12.3,1182,81.1,6,2.83,2.11,Beam,Southwest Monsoon,173.44
Container,112381,44149,23.9,19.4,2759,87.9,4,2.43,0.59,Beam,Northeast Monsoon,633.53
Container,41589,16799,22.6,14.9,2237,54.1,5,5.91,2.11,Following,Southwest Monsoon,106.16
Tanker,54740,9692,15.3,10.7,3648,85.8,3,0.8,0.27,Following,Inter-Monsoon,210.51
Bulker,170873,25802,14.6,13.2,3108,93.2,6,2.78,2.16,Beam,Southwest Monsoon,892.18
Container,132572,52430,22.6,19.9,3059,94.9,3,3.05,1.34,Beam,Northeast Monsoon,1181.08
Bulker,91440,13575,13.7,11.8,3922,97.1,3,1.84,0.6,Head,Inter-Monsoon,586.38
Tanker,246113,43571,13.8,10.1,4830,89.7,1,1.49,0.48,Head,Inter-Monsoon,1519.01
Tanker,71444,12168,14.4,12.8,705,72.8,3,2.02,0.95,Beam,Northeast Monsoon,72.32
Tanker,190101,33571,15.9,13.7,1165,90.7,3,1.91,0.19,Following,Inter-Monsoon,326.33
Container,87769,35643,23.5,22.0,1455,99.7,3,0.9,0.52,Following,Inter-Monsoon,336.38
Container,37619,14515,22.3,17.4,2038,70.1,7,4.91,0.79,Following,Southwest Monsoon,156.46
Container,85824,34306,19.2,12.0,2134,76.4,3,3.5,1.08,Beam,Northeast Monsoon,265.87
Tanker,150619,27521,16.2,9.8,4521,91.0,2,0.98,0.69,Beam,Inter-Monsoon,507.06
Tanker,144714,26160,13.2,9.3,4680,79.4,5,4.52,1.37,Head,Southwest Monsoon,944.52
Bulker,164229,23651,14.2,11.4,697,92.9,4,1.55,1.1,Following,Northeast Monsoon,146.88
Bulker,39583,6594,13.3,11.6,664,54.7,5,4.78,2.34,Beam,Southwest Monsoon,36.45
Container,57325,22374,23.5,22.3,2486,90.7,6,5.85,1.96,Beam,Southwest Monsoon,469.4
Bulker,154360,22303,15.3,11.2,3206,63.2,2,0.52,0.31,Beam,Inter-Monsoon,340.14
Container,118905,48510,22.2,20.1,3839,51.1,2,1.1,0.21,Following,Inter-Monsoon,793.61
Bulker,34240,5425,15.6,11.3,3288,54.5,3,0.76,0.24,Head,Inter-Monsoon,72.58
Tanker,293635,53382,14.3,9.4,4418,71.8,5,2.62,1.03,Beam,Southwest Monsoon,1228.81
Tanker,148505,26525,15.1,10.2,4020,58.9,2,1.7,0.5,Following,Inter-Monsoon,461.04
Tanker,236073,42168,16.4,13.7,1518,58.2,3,1.07,0.12,Head,Inter-Monsoon,355.78
Bulker,151704,22444,13.5,9.6,4026,68.7,2,1.05,0.69,Head,Inter-Monsoon,529.63
Tanker,284950,51235,16.5,13.7,4582,81.4,3,0.85,0.16,Following,Inter-Monsoon,1609.43
Tanker,90550,16662,15.6,11.3,2463,54.2,6,3.13,1.28,Beam,Northeast Monsoon,190.2
Tanker,207385,37987,14.2,9.8,506,74.2,4,5.04,2.23,Head,Southwest Monsoon,135.97
Container,118326,48191,20.8,14.1,2555,87.8,2,1.37,0.43,Head,Inter-Monsoon,485.63
Tanker,69117,12239,15.1,11.2,2814,85.0,2,0.7,0.89,Beam,Inter-Monsoon,208.31
Container,117208,46359,22.2,20.2,3635,65.4,5,3.56,2.34,Head,Southwest Monsoon,1111.96
Bulker,48993,7203,13.4,9.6,4831,99.8,1,1.73,0.26,Head,Inter-Monsoon,268.78
Container,65182,26543,23.2,14.0,4071,87.2,4,2.9,0.65,Following,Northeast Monsoon,334.46
Container,109920,44479,18.8,16.0,1575,79.7,1,0.87,0.94,Head,Inter-Monsoon,444.35
Tanker,94736,17681,14.5,9.9,3365,92.0,3,0.9,0.28,Head,Inter-Monsoon,343.78
Tanker,61517,11340,14.4,11.8,3232,95.7,1,1.83,0.47,Head,Inter-Monsoon,348.83
Bulker,154267,22996,13.9,11.4,2937,66.3,2,1.1,0.81,Following,Inter-Monsoon,471.08
Bulker,181000,26715,15.6,12.9,897,65.5,8,3.8,0.92,Beam,Southwest Monsoon,187.21
Bulker,57596,8920,13.1,8.9,1711,68.9,1,1.59,0.95,Following,Inter-Monsoon,82.73
Tanker,134870,24351,14.0,11.7,3400,84.6,2,0.61,0.52,Following,Inter-Monsoon,673.98
Tanker,139191,25221,16.7,12.3,2115,50.6,3,3.51,1.4,Head,Northeast Monsoon,249.1
Tanker,164994,30266,13.1,12.4,2265,50.3,2,1.3,0.36,Following,Inter-Monsoon,579.7
Bulker,106298,15725,13.9,10.2,2021,99.4,3,1.72,1.17,Head,Northeast Monsoon,254.02
Bulker,198590,28642,12.5,8.9,4832,77.6,1,1.95,0.33,Beam,Inter-Monsoon,892.57
Tanker,109600,19341,15.3,13.2,3289,66.3,4,2.6,1.37,Following,Southwest Monsoon,497.98
Container,56199,22002,20.3,18.2,2916,85.2,3,1.06,0.23,Head,Inter-Monsoon,414.14
Container,103559,40834,21.2,13.4,4429,94.0,6,3.06,0.9,Head,Northeast Monsoon,732.39
Bulker,194282,29574,13.8,9.2,4270,96.9,4,3.22,0.99,Beam,Southwest Monsoon,839.96
Tanker,177718,32058,15.8,11.4,534,97.9,1,1.34,0.95,Beam,Inter-Monsoon,108.59
Bulker,158746,23578,14.9,10.1,1347,95.3,8,4.38,1.95,Beam,Southwest Monsoon,230.32
Tanker,237272,42614,16.1,11.3,3447,50.3,3,1.52,0.26,Following,Inter-Monsoon,553.95
Bulker,58534,8754,15.3,14.0,596,98.8,6,3.33,1.37,Beam,Southwest Monsoon,64.58
Tanker,246823,43639,13.3,10.1,4238,66.4,3,1.55,0.79,Head,Northeast Monsoon,1204.68
Container,20093,8864,20.0,16.3,2153,76.6,3,1.34,0.6,Head,Inter-Monsoon,107.33
Container,45707,18390,21.9,18.2,3465,84.8,6,4.55,1.13,Head,Southwest Monsoon,465.32
Tanker,197006,35323,16.2,14.0,1270,70.1,8,4.89,1.3,Head,Southwest Monsoon,423.9
Tanker,89557,15787,15.7,11.2,4753,61.3,1,1.69,0.41,Following,Inter-Monsoon,355.63
Container,105809,41598,20.6,14.5,1871,73.0,6,3.99,1.34,Head,Northeast Monsoon,348.3
Tanker,65005,11214,16.8,14.2,1203,67.8,4,5.09,2.3,Following,Southwest Monsoon,92.01
Tanker,185270,34176,16.7,11.4,1727,62.5,2,1.9,0.56,Beam,Inter-Monsoon,218.46
Bulker,190485,28647,15.6,10.3,1052,91.7,1,1.56,0.56,Head,Inter-Monsoon,152.81
Container,100816,39249,20.6,18.0,3645,97.8,1,1.18,0.22,Beam,Inter-Monsoon,1013.95
Container,52848,20793,23.3,18.6,1753,77.3,8,3.91,2.04,Beam,Southwest Monsoon,195.01
Tanker,210451,38001,14.6,10.2,3974,83.8,7,4.79,1.03,Beam,Southwest Monsoon,1098.78
Bulker,48073,7079,15.1,9.4,3654,89.7,5,5.07,1.62,Beam,Southwest Monsoon,131.66
Bulker,186964,27592,13.0,10.4,503,92.3,7,4.35,1.14,Head,Southwest Monsoon,165.76
Container,126019,50102,23.2,17.8,4907,75.2,4,3.25,0.9,Beam,Northeast Monsoon,1070.53
Tanker,182748,33823,15.4,10.7,2452,56.0,2,0.95,0.45,Beam,Inter-Monsoon,341.39
Bulker,76442,11634,13.6,10.7,4049,88.9,3,1.63,0.74,Head,Inter-Monsoon,384.07
Container,59574,23840,21.6,16.0,2023,78.0,8,4.9,1.61,Head,Southwest Monsoon,250.32
Container,130883,52943,23.1,18.2,2673,60.8,2,1.35,0.34,Head,Inter-Monsoon,536.96
Bulker,155507,23491,13.7,11.1,2217,80.2,3,1.65,0.96,Following,Northeast Monsoon,377.47
Tanker,88863,15569,14.3,12.7,508,53.2,2,1.13,0.75,Following,Inter-Monsoon,57.67
Tanker,86858,16399,16.7,11.7,3931,56.4,5,1.7,1.04,Beam,Northeast Monsoon,259.08
Container,101669,40481,23.7,18.2,528,79.6,4,3.67,1.37,Beam,Southwest Monsoon,98.49
Bulker,135890,20431,14.3,11.6,3823,91.3,3,3.25,1.21,Beam,Northeast Monsoon,711.17
Tanker,152577,26932,15.2,14.3,3363,71.2,4,2.43,1.14,Following,Northeast Monsoon,849.96
Bulker,84730,12321,15.9,13.8,1095,64.3,8,4.15,2.15,Head,Southwest Monsoon,120.97
Tanker,197603,36326,13.9,12.8,3038,94.5,4,4.09,1.91,Head,Southwest Monsoon,1547.97
Container,25428,10315,19.0,12.5,1063,77.1,2,1.05,0.31,Following,Inter-Monsoon,39.94
Container,30493,12954,21.7,14.9,4885,56.0,8,4.35,0.65,Following,Southwest Monsoon,234.73
Tanker,89409,16363,13.4,12.0,2805,57.1,1,0.83,0.32,Following,Inter-Monsoon,357.83
Bulker,180041,27238,13.3,8.2,3040,75.1,6,2.26,0.87,Following,Northeast Monsoon,421.89
Container,126994,50523,20.1,12.1,2197,71.3,3,0.73,0.47,Following,Inter-Monsoon,307.98
Container,56092,22268,20.4,15.2,3128,81.7,3,1.85,0.56,Following,Inter-Monsoon,297.88
Container,63882,25814,18.4,15.8,3581,82.3,8,5.75,1.5,Beam,Southwest Monsoon,856.03
Tanker,278972,49880,16.9,14.7,3855,70.3,3,3.42,0.5,Beam,Northeast Monsoon,1540.85
Tanker,197071,35699,16.5,14.7,3317,86.7,5,3.54,1.02,Head,Northeast Monsoon,1109.83
Container,37843,15690,22.6,15.8,1385,84.2,1,0.77,0.44,Beam,Inter-Monsoon,76.81
Tanker,293961,52419,13.5,12.8,822,69.9,6,5.15,0.81,Beam,Southwest Monsoon,515.75
Bulker,69360,10114,15.4,12.2,2900,92.8,3,3.87,1.31,Head,Northeast Monsoon,249.88
Tanker,65071,11991,16.8,13.3,2415,69.3,5,2.73,0.7,Beam,Northeast Monsoon,177.09
Tanker,186913,33380,15.8,14.8,3250,54.3,3,2.56,1.13,Beam,Northeast Monsoon,837.75
Tanker,60858,10674,17.0,12.6,2507,84.8,6,5.79,1.63,Head,Southwest Monsoon,191.2
Tanker,78276,14506,14.7,10.3,4902,97.5,4,4.89,1.55,Head,Southwest Monsoon,545.43
Bulker,50031,7019,15.4,12.7,999,51.2,1,1.99,0.53,Beam,Inter-Monsoon,38.9
Container,32449,12910,22.3,18.4,4867,52.3,4,5.99,1.44,Following,Southwest Monsoon,278.91
Container,46539,19092,19.8,12.6,2158,53.6,1,1.44,0.19,Following,Inter-Monsoon,111.77
Tanker,269339,48480,16.2,14.7,1650,96.9,3,0.8,0.69,Following,Inter-Monsoon,745.39
Tanker,80447,14806,14.8,11.7,2996,59.1,3,3.06,0.67,Beam,Northeast Monsoon,264.45
Container,48549,20013,22.8,16.6,1260,68.1,2,1.6,0.76,Beam,Inter-Monsoon,90.84
Tanker,94377,17618,15.0,13.3,3106,79.8,2,0.83,0.56,Head,Inter-Monsoon,483.01
Tanker,221993,39225,13.3,8.9,3336,57.6,5,2.64,1.43,Head,Northeast Monsoon,707.66
Container,53276,21384,19.0,12.8,4225,91.9,1,1.19,0.38,Head,Inter-Monsoon,383.44
Tanker,268679,49180,14.4,11.8,2866,89.5,2,1.84,0.43,Head,Inter-Monsoon,1207.75
Tanker,298411,54553,15.4,14.5,775,75.9,3,1.53,0.32,Beam,Inter-Monsoon,392.38
Bulker,192579,28890,15.0,13.8,1857,76.8,6,5.5,1.23,Beam,Southwest Monsoon,626.11
Container,90165,36310,23.2,21.3,4492,90.0,5,4.13,0.92,Head,Southwest Monsoon,1218.89
Tanker,158998,27096,14.7,12.3,910,88.4,3,1.69,0.71,Beam,Inter-Monsoon,214.02
Bulker,102455,14715,15.2,11.3,2883,90.2,1,0.52,0.23,Beam,Inter-Monsoon,259.66
Bulker,90349,13228,13.8,8.8,544,85.2,3,0.7,0.76,Following,Inter-Monsoon,37.4
Bulker,149781,22094,12.5,8.5,2102,69.4,1,0.76,0.49,Head,Inter-Monsoon,249.25
Container,53570,21254,23.7,17.3,1866,53.1,3,1.37,0.62,Beam,Inter-Monsoon,123.14
Bulker,108843,16111,12.1,9.6,1151,89.6,1,0.73,0.18,Head,Inter-Monsoon,170.47
Bulker,111682,17118,12.4,8.5,1367,50.2,6,1.68,0.76,Following,Northeast Monsoon,118.52
Tanker,189144,34900,15.2,11.3,1493,94.6,1,1.85,0.52,Following,Inter-Monsoon,353.37
Container,149456,59045,23.0,15.4,1479,73.0,3,1.41,0.18,Beam,Inter-Monsoon,274.59
Bulker,190730,28736,13.2,12.0,3185,97.5,1,1.67,0.31,Following,Inter-Monsoon,1071.71
Tanker,222716,39875,16.2,10.5,1037,94.8,7,5.48,1.54,Head,Southwest Monsoon,266.87
Bulker,180391,27546,14.9,9.3,940,62.7,2,1.3,0.73,Following,Inter-Monsoon,95.49
Bulker,70598,10775,15.8,9.8,4088,74.8,7,5.24,1.65,Head,Southwest Monsoon,220.76
Container,121378,48318,21.1,14.9,1757,81.5,3,3.19,1.31,Following,Northeast Monsoon,362.58
Bulker,93338,14384,13.2,10.9,2657,72.7,1,1.65,0.31,Head,Inter-Monsoon,317.25
Tanker,240716,43801,13.5,12.3,3134,74.9,8,3.87,2.27,Following,Southwest Monsoon,1711.86
Bulker,63324,8786,14.8,11.7,1047,80.0,3,1.54,0.89,Following,Inter-Monsoon,60.06
Container,74671,30287,20.0,12.9,4627,97.8,3,1.12,0.62,Beam,Inter-Monsoon,520.98
Container,26086,10851,18.9,13.2,3243,69.8,6,4.72,2.26,Head,Southwest Monsoon,169.61
Tanker,280685,50511,13.6,10.3,3019,78.4,6,5.97,1.81,Head,Southwest Monsoon,1353.13
Container,23851,10431,22.4,14.9,1045,76.2,3,0.87,0.18,Following,Inter-Monsoon,34.42
Bulker,161870,23035,15.8,12.2,3086,69.6,3,0.87,0.54,Following,Inter-Monsoon,420.0
Container,109266,43423,21.9,20.0,3331,71.2,8,4.54,2.37,Beam,Southwest Monsoon,1096.66
Container,64007,25814,21.1,16.5,1973,73.8,7,4.48,1.85,Following,Southwest Monsoon,291.81
Container,145446,57605,23.0,16.8,1718,74.5,1,1.96,0.27,Beam,Inter-Monsoon,347.66
Tanker,175194,31217,15.7,10.9,2275,74.4,1,1.7,0.54,Beam,Inter-Monsoon,370.52
Container,116560,46490,21.9,14.8,3479,83.5,1,0.69,0.78,Head,Inter-Monsoon,591.39
Container,63340,26188,22.2,14.9,1150,80.1,3,3.84,1.31,Beam,Northeast Monsoon,112.18
Bulker,34117,5062,12.5,9.5,3726,66.0,4,3.1,1.17,Head,Northeast Monsoon,144.03
Container,58492,22789,23.3,14.3,1889,77.0,6,3.33,1.48,Following,Northeast Monsoon,119.65
Tanker,211260,37670,14.7,12.4,826,82.8,3,1.79,1.47,Beam,Northeast Monsoon,269.88
Bulker,34217,5554,13.1,10.2,2435,54.8,2,1.61,0.82,Head,Inter-Monsoon,83.53
Tanker,111772,20156,14.8,10.6,1460,56.1,4,3.0,2.49,Beam,Southwest Monsoon,149.44
Bulker,172964,25963,14.1,13.2,2472,63.8,5,3.92,0.61,Head,Northeast Monsoon,648.39
Tanker,241009,43792,13.2,8.0,3863,73.7,3,1.98,0.13,Head,Inter-Monsoon,710.13
Tanker,112263,20748,13.8,12.6,2346,72.8,8,3.25,2.19,Beam,Southwest Monsoon,502.12
Bulker,175118,26601,15.5,14.5,892,80.0,4,3.54,0.74,Beam,Northeast Monsoon,258.75
Bulker,83334,11974,15.0,13.0,3948,89.9,6,3.86,1.22,Beam,Northeast Monsoon,497.77
Tanker,183523,33095,13.0,9.1,4942,74.2,5,3.33,1.3,Beam,Northeast Monsoon,1076.47
Tanker,84981,15551,16.2,10.0,1538,92.9,5,2.98,1.61,Following,Southwest Monsoon,118.5
Tanker,167586,30331,15.9,10.0,3627,99.2,1,0.75,0.98,Following,Inter-Monsoon,499.56
Tanker,297028,53933,15.0,9.4,4369,51.7,2,1.57,0.52,Head,Inter-Monsoon,755.4
Tanker,233724,42811,13.5,12.5,3188,51.2,3,1.2,0.83,Head,Inter-Monsoon,1040.22
Bulker,112382,17301,13.6,9.5,3729,94.5,5,5.98,1.44,Following,Southwest Monsoon,521.74
Tanker,252875,46024,15.1,9.8,4642,77.9,7,4.25,1.84,Following,Southwest Monsoon,1123.93
Container,90134,36477,23.9,14.9,1895,64.3,3,1.59,0.97,Following,Inter-Monsoon,168.36
Tanker,239121,43825,16.1,12.4,4400,77.3,4,3.07,2.19,Following,Southwest Monsoon,1116.67
Tanker,166835,31036,14.5,13.6,4807,90.3,2,1.65,0.54,Beam,Inter-Monsoon,1760.45
Container,80795,31481,20.7,13.7,1365,95.9,5,3.95,0.84,Beam,Northeast Monsoon,187.45
Bulker,98513,14897,15.3,14.2,4913,95.6,7,5.46,0.52,Following,Southwest Monsoon,982.14
Tanker,154083,28011,15.0,10.2,4660,99.7,1,1.98,0.62,Head,Inter-Monsoon,767.42
Bulker,116723,17415,12.2,7.5,4717,53.3,1,0.58,0.67,Beam,Inter-Monsoon,316.93
Bulker,42480,5909,14.1,12.9,3785,73.1,2,0.86,0.75,Head,Inter-Monsoon,216.9
Bulker,99456,14654,14.9,12.4,1516,53.0,5,4.81,0.55,Beam,Southwest Monsoon,153.21
Bulker,74503,11653,13.8,8.4,1723,50.8,4,2.55,0.91,Head,Southwest Monsoon,73.84
Tanker,192931,34622,13.7,10.5,4277,95.9,1,0.77,0.98,Head,Inter-Monsoon,1093.62
Bulker,184251,27139,13.9,8.9,4205,67.0,2,1.6,0.73,Beam,Inter-Monsoon,504.54
Bulker,105088,15550,13.4,11.6,4714,96.8,7,2.72,2.1,Head,Southwest Monsoon,902.54
Bulker,181952,27758,15.3,13.1,2559,92.6,1,1.36,0.66,Beam,Inter-Monsoon,669.81
Container,140580,55639,22.3,19.4,1955,92.9,2,1.82,0.61,Head,Inter-Monsoon,687.66
Container,37741,14732,21.6,15.4,2653,64.0,2,1.13,0.6,Following,Inter-Monsoon,132.06
Container,139071,55477,22.9,18.2,3681,52.4,3,0.57,0.39,Beam,Inter-Monsoon,660.03
Container,133348,53016,18.4,14.0,2878,91.6,1,0.92,0.59,Following,Inter-Monsoon,812.67
Tanker,179694,31587,14.2,12.6,800,72.2,2,0.65,0.13,Beam,Inter-Monsoon,197.79
Container,80763,32104,21.4,17.9,4643,83.2,3,1.37,0.75,Following,Inter-Monsoon,838.34
Container,135372,54731,21.2,17.9,2532,89.5,5,4.4,2.08,Following,Southwest Monsoon,948.83
Tanker,298372,53908,14.8,13.4,1975,87.6,6,3.34,1.96,Following,Southwest Monsoon,1176.23
Tanker,120167,21457,16.9,13.4,4635,56.4,2,1.69,0.59,Following,Inter-Monsoon,458.24
Container,64317,25759,19.4,13.1,3915,52.8,6,2.98,1.8,Beam,Southwest Monsoon,328.0
Tanker,246772,45503,16.9,14.8,4535,69.4,5,2.42,1.13,Beam,Northeast Monsoon,1500.75
Bulker,156566,22084,14.2,12.2,3659,51.3,2,1.36,0.81,Beam,Inter-Monsoon,514.2
Container,79347,32814,19.4,16.4,1939,97.3,6,3.02,1.22,Beam,Northeast Monsoon,543.71
Container,70523,28843,22.0,15.0,3029,97.8,2,1.61,0.26,Following,Inter-Monsoon,363.85
Tanker,289805,51874,16.9,11.8,3981,87.3,2,1.17,0.34,Following,Inter-Monsoon,984.48
Container,63437,25426,23.1,20.9,4123,92.1,7,2.75,2.43,Head,Southwest Monsoon,848.45
Bulker,105843,15847,12.9,10.2,2990,56.1,5,5.48,1.57,Head,Southwest Monsoon,374.34
Container,104124,40815,18.8,13.4,1305,70.8,1,1.11,0.37,Following,Inter-Monsoon,219.92
Tanker,52042,9264,14.8,10.6,1252,88.3,3,1.08,0.47,Following,Inter-Monsoon,74.25
Container,113614,46363,22.7,14.4,4064,57.5,2,1.62,0.82,Head,Inter-Monsoon,481.78
Tanker,181630,32782,14.9,11.2,4425,70.0,5,3.13,1.01,Following,Northeast Monsoon,931.7
Tanker,208223,37161,15.9,12.9,4689,99.7,6,5.75,0.69,Head,Southwest Monsoon,1861.77
Tanker,173529,30697,13.2,10.5,3093,97.2,3,0.53,0.16,Following,Inter-Monsoon,842.76
Bulker,44004,7411,14.4,12.9,2710,54.9,5,1.6,1.02,Beam,Northeast Monsoon,163.63
Bulker,196132,29681,13.2,8.1,3041,71.6,3,0.6,0.25,Beam,Inter-Monsoon,384.25
Tanker,180024,32720,15.3,11.9,4418,87.3,6,5.92,0.68,Beam,Southwest Monsoon,1285.9
Container,119716,46882,19.1,12.2,1011,67.4,4,3.12,0.83,Head,Northeast Monsoon,161.57
Container,123771,49654,20.8,12.7,1664,69.7,3,1.54,0.92,Beam,Inter-Monsoon,213.14
Bulker,101888,15686,12.2,8.4,1794,57.4,5,3.04,1.19,Head,Northeast Monsoon,166.5
Container,113697,46063,18.9,14.0,2631,58.4,3,3.07,1.49,Beam,Northeast Monsoon,517.43
Tanker,234853,42934,15.0,13.7,2854,68.5,3,0.93,0.51,Following,Inter-Monsoon,1102.68
Bulker,140388,21053,12.2,8.6,858,73.1,4,3.14,1.07,Head,Northeast Monsoon,135.93
Container,45340,18132,23.4,15.8,3381,95.8,5,3.06,0.92,Head,Northeast Monsoon,270.27
Container,66158,27016,22.9,18.8,4863,95.1,6,3.16,0.77,Beam,Southwest Monsoon,818.49
Tanker,266720,48228,14.8,10.0,2495,58.9,1,1.34,0.76,Beam,Inter-Monsoon,542.27
Container,61582,24869,23.0,14.4,2126,61.6,2,0.57,0.93,Following,Inter-Monsoon,116.34
Container,145058,57240,21.6,20.5,4880,50.4,7,5.43,2.22,Beam,Southwest Monsoon,1865.15
Bulker,170278,24706,13.2,11.9,2464,83.6,3,1.37,0.85,Head,Inter-Monsoon,684.76
Bulker,122754,18250,15.6,9.4,1460,85.3,2,0.77,0.36,Following,Inter-Monsoon,98.33
